logged_steps,T,T_t,T_x,T_xx,t,x,rms,scale,run_mode
64,[372.51645 372.51544 372.51312 ... 357.37106 357.26007 357.1483 ],"[-0.17610285 -0.17596358 -0.17581643 ... -0.10715603 -0.1068888
 -0.10661835]","[  -0.42554453   -2.1044607    -3.7834768  ... -140.44179    -141.46065
 -142.47649   ]",[-2131.4692 -2133.005  -2131.6272 ... -1296.0275 -1292.0132 -1287.8744],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00022727456234861165, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0010087089613080025}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
65,[372.6114  372.61017 372.60764 ... 357.4345  357.3234  357.21146],"[-0.1766045  -0.17644441 -0.17627718 ... -0.1073598  -0.10709447
 -0.10682609]","[  -0.7010711   -2.3862739   -4.071614  ... -140.62685   -141.64796
 -142.666    ]",[-2138.6018 -2140.943  -2140.076  ... -1298.8145 -1294.829  -1290.7251],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00021408722386695445, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0009639350464567542}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
66,[372.58527 372.5841  372.58163 ... 357.41782 357.30667 357.19476],"[-0.17620966 -0.17606351 -0.17590648 ... -0.10732925 -0.10706451
 -0.10679645]","[  -0.6287995   -2.3114722   -3.9940145 ... -140.60277   -141.62372
 -142.64142  ]",[-2135.4412 -2137.5393 -2136.5222 ... -1298.514  -1294.539  -1290.4443],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0002138216805178672, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0009519365848973393}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
67,[372.63055 372.62924 372.62662 ... 357.44852 357.33734 357.22534],"[-0.1764234  -0.17625767 -0.17608482 ... -0.1074101  -0.10714734
 -0.106881  ]","[  -0.8075713   -2.4906688   -4.1750965 ... -140.69876   -141.72064
 -142.7395   ]",[-2135.581  -2139.1323 -2139.1309 ... -1299.9414 -1296.0035 -1291.9536],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00019722005527000874, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008869512239471078}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
68,[372.63837 372.63702 372.63434 ... 357.4547  357.3435  357.23148],"[-0.17582418 -0.17566305 -0.17549549 ... -0.10751134 -0.10724978
 -0.10698504]","[  -0.89635164   -2.572944     -4.2525797  ... -140.73405    -141.75696
 -142.77676   ]",[-2127.0918 -2131.9688 -2132.9858 ... -1301.0479 -1297.1783 -1293.1902],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00019225703726988286, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008582096197642386}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
69,[372.62808 372.6267  372.62408 ... 357.44952 357.33832 357.22632],"[-0.1749171  -0.17479353 -0.17466334 ... -0.10752618 -0.10726549
 -0.10700134]","[  -0.8736154   -2.539697    -4.210144  ... -140.71852   -141.74197
 -142.76227  ]",[-2112.2058 -2119.3694 -2122.34   ... -1301.5598 -1297.7307 -1293.7903],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0001888195110950619, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008541594143025577}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
70,[372.62335 372.62198 372.61932 ... 357.448   357.3368  357.2248 ],"[-0.17422456 -0.17412288 -0.17401509 ... -0.10753515 -0.1072742
 -0.10701007]","[  -0.9104253   -2.5692418   -4.233789  ... -140.71317   -141.73668
 -142.75728  ]",[-2101.4932 -2110.7695 -2115.39   ... -1301.7906 -1297.9932 -1294.0774],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00019026138761546463, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008538403199054301}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
71,[372.60785 372.60657 372.604   ... 357.44067 357.3295  357.21747],"[-0.17390503 -0.17381568 -0.17371939 ... -0.10757996 -0.10731949
 -0.10705568]","[  -0.77903605   -2.4330904    -4.0935726  ... -140.70291    -141.72656
 -142.74713   ]",[-2095.3042 -2105.5266 -2111.0093 ... -1301.881  -1298.1072 -1294.2213],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00019203561532776803, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008614572579972446}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
72,[372.57635 372.57523 372.5728  ... 357.42862 357.31744 357.20547],"[-0.17216983 -0.17214963 -0.17211965 ... -0.10757221 -0.1073115
 -0.10704748]","[  -0.60919476   -2.2513933    -3.9004564  ... -140.66498    -141.68837
 -142.70872   ]",[-2079.7134 -2090.866  -2097.123  ... -1301.5104 -1297.788  -1293.9509],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0001994958147406578, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.000877418729942292}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
73,[372.5644  372.56332 372.56094 ... 357.42285 357.3117  357.19974],"[-0.17186849 -0.17185353 -0.17183    ... -0.10754632 -0.10728537
 -0.10702109]","[  -0.5553869   -2.194011    -3.8395715 ... -140.64777   -141.67139
 -142.6918   ]",[-2075.7366 -2086.3687 -2092.2458 ... -1301.7542 -1298.0188 -1294.1753],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00019492549472488463, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008583973976783454}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
74,[372.52768 372.5267  372.52444 ... 357.40106 357.28998 357.1781 ],"[-0.17143995 -0.17143172 -0.17141567 ... -0.10743707 -0.10717583
 -0.1069112 ]","[  -0.43085063   -2.0625691    -3.701726   ... -140.57462    -141.59744
 -142.61703   ]",[-2067.2305 -2078.2002 -2084.5237 ... -1300.669  -1296.9114 -1293.0448],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00019446077931206673, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008652668329887092}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
75,[372.4956  372.49475 372.49258 ... 357.3811  357.27005 357.15817],"[-0.17124769 -0.17123784 -0.17122106 ... -0.10739888 -0.10713752
 -0.10687269]","[  -0.29375708   -1.9225322    -3.5577843  ... -140.54594    -141.56856
 -142.58817   ]",[-2062.7007 -2073.742  -2080.185  ... -1300.5419 -1296.7739 -1292.8933],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018986455688718706, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008400057558901608}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
76,[372.47968 372.47876 372.47656 ... 357.36905 357.25803 357.14618],"[-0.17126332 -0.17125078 -0.17123188 ... -0.10733892 -0.10707685
 -0.10681137]","[  -0.33163264   -1.9609065    -3.5972216  ... -140.4992     -141.52124
 -142.54036   ]",[-2063.8354 -2074.4868 -2080.5593 ... -1299.9138 -1296.1335 -1292.2461],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018989763339050114, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008399085490964353}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
77,[372.46704 372.46616 372.464   ... 357.36102 357.25    357.13818],"[-0.17097972 -0.17097762 -0.17096785 ... -0.10731235 -0.10704994
 -0.10678445]","[  -0.30469522   -1.9327842    -3.5681198  ... -140.46967    -141.49156
 -142.51044   ]",[-2062.618  -2073.0312 -2078.9844 ... -1299.5891 -1295.8148 -1291.9257],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018568677478469908, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008222925825975835}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
78,[372.4525  372.45163 372.44946 ... 357.35257 357.2416  357.1298 ],"[-0.17067038 -0.17067483 -0.17067052 ... -0.10725921 -0.10699667
 -0.10673094]","[  -0.28119612   -1.908127     -3.5411108  ... -140.44122    -141.46251
 -142.48079   ]",[-2060.9597 -2070.7412 -2076.2227 ... -1298.8964 -1295.1023 -1291.1968],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00019068981055170298, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008452481706626713}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
79,[372.4413  372.44046 372.4384  ... 357.34656 357.23557 357.1238 ],"[-0.17054498 -0.17054677 -0.17054215 ... -0.10722273 -0.10695998
 -0.1066942 ]","[  -0.23180571   -1.8565048    -3.4870622  ... -140.42088    -141.4419
 -142.4597    ]",[-2058.7578 -2067.9568 -2073.062  ... -1298.5148 -1294.7231 -1290.8142],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00019027038069907576, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.000845982925966382}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
80,[372.43735 372.43652 372.4344  ... 357.34372 357.23276 357.121  ],"[-0.17044497 -0.17044713 -0.17044151 ... -0.1072247  -0.10696188
 -0.10669568]","[  -0.24454413   -1.8692391    -3.4992     ... -140.41435    -141.43558
 -142.4536    ]",[-2058.633  -2067.3496 -2072.041  ... -1298.6768 -1294.896  -1291.0029],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0001862561475718394, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008285427466034889}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
81,[372.409   372.4082  372.4061  ... 357.3241  357.21313 357.10144],"[-0.17002417 -0.17003542 -0.17003949 ... -0.10718532 -0.10692235
 -0.10665639]","[  -0.23098327   -1.8514131    -3.476796   ... -140.3669     -141.38748
 -142.40518   ]",[-2053.33   -2061.7158 -2066.2747 ... -1298.1654 -1294.3827 -1290.4857],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018705804541241378, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008315052255056798}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
82,[372.373   372.3722  372.37018 ... 357.30078 357.18988 357.0782 ],"[-0.16940828 -0.1694318  -0.16944778 ... -0.10715804 -0.10689532
 -0.10662945]","[  -0.14358339   -1.757667     -3.3768795  ... -140.3114     -141.33197
 -142.34956   ]",[-2045.6069 -2053.6836 -2058.157  ... -1298.0476 -1294.2928 -1290.4218],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018367887241765857, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008117312681861222}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
83,[372.35205 372.3513  372.3492  ... 357.28586 357.175   357.06335],"[-0.1689959  -0.16902791 -0.16905084 ... -0.10708991 -0.10682769
 -0.10656247]","[  -0.1850059   -1.7986447   -3.4164777 ... -140.2674    -141.28777
 -142.30518  ]",[-2045.299  -2052.215  -2055.7512 ... -1297.7319 -1293.9958 -1290.1449],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018308342259842902, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008071659249253571}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
84,[372.28876 372.28796 372.2859  ... 357.24127 357.1305  357.01892],"[-0.16771615 -0.16776086 -0.16779487 ... -0.10703005 -0.10676895
 -0.10650462]","[  -0.22052959   -1.8252511    -3.4323683  ... -140.17137    -141.19162
 -142.20883   ]",[-2034.931  -2039.8452 -2041.9342 ... -1297.5398 -1293.8312 -1290.0114],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018318531510885805, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.000802525959443301}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
85,[372.25934 372.25854 372.25647 ... 357.2211  357.11035 356.99884],"[-0.16702619 -0.16707473 -0.16711372 ... -0.1070247  -0.10676382
 -0.10649994]","[  -0.23391491   -1.8311702    -3.4308338  ... -140.12898    -141.14928
 -142.16653   ]",[-2025.6493 -2030.4943 -2032.6904 ... -1297.5532 -1293.8523 -1290.0365],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018559128511697054, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008095221128314734}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
86,[372.2062  372.20544 372.2034  ... 357.18536 357.07468 356.96323],"[-0.16620529 -0.16626248 -0.16631013 ... -0.1069529  -0.10669248
 -0.10642877]","[  -0.18987699   -1.7781839    -3.36851    ... -140.03648    -141.05624
 -142.07312   ]",[-2013.9116 -2018.6904 -2021.0251 ... -1296.9763 -1293.2952 -1289.5056],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018505055049899966, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0008018371881917119}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
87,[372.12018 372.1195  372.11758 ... 357.1277  357.01712 356.90576],"[-0.16499457 -0.16506372 -0.1651283  ... -0.10684085 -0.106581
 -0.10631805]","[-6.3622601e-02 -1.6387783e+00 -3.2174933e+00 ... -1.3989641e+02
 -1.4091547e+02 -1.4193159e+02]",[-1998.859  -2002.9741 -2004.8727 ... -1296.0612 -1292.4178 -1288.661 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0001835932198446244, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007855963776819408}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
88,[372.05026 372.0496  372.04767 ... 357.07828 356.96783 356.85654],"[-0.16409327 -0.16415681 -0.16421476 ... -0.10681298 -0.10655439
 -0.10629255]","[-8.3766699e-02 -1.6516083e+00 -3.2211969e+00 ... -1.3979082e+02
 -1.4080960e+02 -1.4182550e+02]",[-1989.283  -1992.5116 -1993.7412 ... -1295.7053 -1292.0791 -1288.3417],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0001777693396434188, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.000761442119255662}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
89,[371.93225 371.9316  371.92978 ... 356.9956  356.8853  356.77417],"[-0.16260172 -0.1626765  -0.16274975 ... -0.1066568  -0.10639971
 -0.10613963]","[-2.3310330e-02 -1.5773551e+00 -3.1332393e+00 ... -1.3959261e+02
 -1.4061028e+02 -1.4162508e+02]",[-1972.6481 -1975.0573 -1975.8156 ... -1294.3105 -1290.7015 -1286.983 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018165029177907854, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.000769179139751941}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
90,[371.79602 371.79547 371.7938  ... 356.9013  356.79114 356.68018],"[-0.1608337  -0.1609256  -0.16101697 ... -0.10654244 -0.10628762
 -0.10602973]","[ 1.2281859e-01 -1.4139098e+00 -2.9523954e+00 ... -1.3938838e+02
 -1.4040520e+02 -1.4141934e+02]",[-1951.4698 -1953.0948 -1953.4152 ... -1293.2549 -1289.6696 -1285.9711],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018075374828185886, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007575458148494363}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
91,[371.70892 371.7084  371.70667 ... 356.83823 356.7282  356.61737],"[-0.15975502 -0.15985511 -0.15995495 ... -0.10645131 -0.10619745
 -0.10594048]","[ 1.0209449e-01 -1.4239309e+00 -2.9506502e+00 ... -1.3923534e+02
 -1.4025150e+02 -1.4126492e+02]",[-1936.592  -1938.5929 -1939.2971 ... -1292.4266 -1288.8451 -1285.153 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00018286735576111823, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007650370826013386}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
92,[371.60815 371.60764 371.6059  ... 356.76367 356.65378 356.5431 ],"[-0.15878181 -0.15888567 -0.15898974 ... -0.10636245 -0.10610943
 -0.10585355]","[ 9.2820257e-02 -1.4214076e+00 -2.9369040e+00 ... -1.3906367e+02
 -1.4007878e+02 -1.4109116e+02]",[-1921.7424 -1924.2262 -1925.4595 ... -1291.196  -1287.6168 -1283.923 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00017694581765681505, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007428462849929929}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
93,[371.4796  371.47916 371.47754 ... 356.67065 356.56094 356.45044],"[-0.15765245 -0.15776916 -0.15788765 ... -0.10620281 -0.10595109
 -0.10569686]","[   0.17676593   -1.3269117    -2.8320549  ... -138.83841    -139.85223
 -140.86327   ]",[-1908.0793 -1910.7635 -1912.2792 ... -1289.3854 -1285.8065 -1282.1086],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00017333024879917502, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007342538447119296}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
94,[371.40997 371.4096  371.40802 ... 356.6214  356.51175 356.40134],"[-0.15690868 -0.15703753 -0.15716577 ... -0.10614037 -0.10588992
 -0.10563678]","[   0.24953401   -1.2477449    -2.746631   ... -138.727      -139.74
 -140.7503    ]",[-1900.1919 -1902.7996 -1904.2938 ... -1288.3956 -1284.8152 -1281.1267],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00017315224977210164, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007357316208072007}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
95,[371.3851  371.38474 371.38318 ... 356.6038  356.4942  356.3838 ],"[-0.1566176  -0.15675071 -0.15688527 ... -0.10611237 -0.10586248
 -0.10560978]","[   0.2752533   -1.2195985   -2.7167706 ... -138.68918   -139.70206
 -140.71205  ]",[-1897.4325 -1900.019  -1901.4852 ... -1288.1112 -1284.5343 -1280.8469],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00017416768241673708, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007397856679745018}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
96,[371.35748 371.3571  371.3555  ... 356.5832  356.47363 356.36328],"[-0.15634511 -0.15647519 -0.15660757 ... -0.10606983 -0.10582018
 -0.10556761]","[   0.23509556   -1.2576473    -2.751552   ... -138.63277    -139.64499
 -140.65442   ]",[-1894.3607 -1896.8025 -1898.1598 ... -1287.364  -1283.7866 -1280.097 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0001738933933665976, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007406241493299603}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
97,[371.3061  371.3057  371.30414 ... 356.5453  356.43582 356.32553],"[-0.15594693 -0.1560675  -0.15618952 ... -0.10604633 -0.10579734
 -0.10554539]","[   0.23469357   -1.252609     -2.7411544  ... -138.5435     -139.55542
 -140.5643    ]",[-1887.1884 -1889.8397 -1891.291  ... -1286.8175 -1283.2522 -1279.5746],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00017350754933431745, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0007416157168336213}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
