logged_steps,T,T_t,T_x,T_xx,t,x,rms,scale,run_mode
20,[377.1607  377.15634 377.15015 ... 360.5641  360.44708 360.32925],"[-0.24219036 -0.24078591 -0.23935318 ... -0.11161125 -0.11130052
 -0.11098526]","[  -4.3870697   -6.6849904   -9.006635  ... -148.03876   -149.09975
 -150.15694  ]",[-2891.88   -2937.9521 -2955.415  ... -1349.8434 -1345.0627 -1340.1265],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.000992841669358313, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.004318381659686565}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
21,[376.46594 376.46158 376.45547 ... 360.04028 359.9243  359.8075 ],"[-0.23882481 -0.23735566 -0.23586904 ... -0.11103072 -0.11072585
 -0.11041645]","[  -4.3961515   -6.634519    -8.901012  ... -146.7771    -147.82854
 -148.87625  ]",[-2814.649  -2865.7832 -2887.9758 ... -1337.8656 -1333.0173 -1328.0078],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0009179280023090541, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.004298413638025522}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
22,[375.9536  375.94965 375.9439  ... 359.66602 359.55084 359.4348 ],"[-0.23579325 -0.23447159 -0.23313338 ... -0.11011031 -0.10980513
 -0.10949512]","[  -3.9618466   -6.1682677   -8.406688  ... -145.75603   -146.80011
 -147.84027  ]",[-2773.1067 -2827.2805 -2852.9778 ... -1328.4547 -1323.5449 -1318.4645],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0008999114506877959, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.004400915000587702}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
23,[376.0646  376.0611  376.0559  ... 359.77795 359.6625  359.54626],"[-0.23305693 -0.23183617 -0.2306047  ... -0.11055304 -0.11024692
 -0.10993654]","[  -3.345377    -5.5235777   -7.731345  ... -146.07565   -147.12277
 -148.16606  ]",[-2736.9868 -2789.294  -2814.3765 ... -1332.4069 -1327.3777 -1322.1694],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0008573349332436919, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.004226916469633579}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
24,[376.0342  376.03098 376.02603 ... 359.77744 359.66193 359.54562],"[-0.22947805 -0.22833467 -0.22718555 ... -0.11088083 -0.11057318
 -0.11026128]","[  -3.044558    -5.1906996   -7.365323  ... -146.14948   -147.1988
 -148.2439   ]",[-2699.258  -2747.826  -2770.4734 ... -1335.0492 -1329.9456 -1324.6606],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0008578025735914707, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.00422359723597765}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
25,[375.92172 375.91858 375.91376 ... 359.71597 359.60065 359.48447],"[-0.22633615 -0.22526383 -0.22417931 ... -0.11080485 -0.11049522
 -0.11018106]","[  -2.9287982   -5.0552874   -7.2070355 ... -145.956     -147.00563
 -148.05128  ]",[-2677.0984 -2720.8762 -2739.873  ... -1335.5616 -1330.5586 -1325.3761],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0007971010636538267, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0039109778590500355}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
26,[375.67007 375.66772 375.66376 ... 359.56613 359.45105 359.3351 ],"[-0.22105964 -0.22010566 -0.21914405 ... -0.1106501  -0.11034531
 -0.11003599]","[  -1.9332236   -4.013733    -6.11733   ... -145.6618    -146.71004
 -147.7543   ]",[-2619.135  -2660.781  -2678.9636 ... -1333.6398 -1328.7281 -1323.6315],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0007809766102582216, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0038495101034641266}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
27,[375.43192 375.4297  375.42587 ... 359.42004 359.30524 359.18964],"[-0.21457121 -0.21372807 -0.21288511 ... -0.11015006 -0.10984506
 -0.10953552]","[  -1.8038594   -3.8208768   -5.861577  ... -145.26724   -146.31287
 -147.35458  ]",[-2539.5046 -2580.5425 -2599.3396 ... -1330.4156 -1325.509  -1320.4166],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0007416965672746301, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0036081019788980484}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
28,[375.11563 375.11328 375.10938 ... 359.20132 359.08698 358.97186],"[-0.20933713 -0.20851378 -0.2077005  ... -0.10976143 -0.10945445
 -0.1091429 ]","[  -2.000122    -3.9554615   -5.9334764 ... -144.66742   -145.71013
 -146.74896  ]",[-2460.8303 -2501.2952 -2520.6162 ... -1326.6635 -1321.8662 -1316.8809],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0007062098011374474, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.003521305974572897}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
29,[374.8708  374.8691  374.8659  ... 359.03748 358.92352 358.80872],"[-0.20655471 -0.2058453  -0.20514797 ... -0.10944484 -0.10913937
 -0.1088295 ]","[  -1.1836733   -3.1054878   -5.053032  ... -144.23306   -145.27301
 -146.30936  ]",[-2416.632  -2460.4094 -2483.616  ... -1323.1295 -1318.462  -1313.6023],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0007009615073911846, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.003594410140067339}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
